journal,j
neurology,neurol
clinical,clin
nature,nat
reviews,rev
sciences,sci
neuroscience,neurosci
neurosciences,neurosci
statistics,stat
statistical,stat
software,softw
research,res
cognitive,cogn
international,int
frontiers,front
annals,ann
human,hum
mapping,mapp
psychiatric,psychiat
american,am
magnetic,magn
resonance,reson
transactions,trans
royal,r
medical,med
medicine,med
experimental,exp
neurosurgery,neurosur
applied,appl
psychological,psychol
measurement,meas
diseases,dis
disease,dis
cerebrovascular,cerebrovasc
cerebral,cereb
analysis,anal
current,curr
communications,comm
reports,rep
physical,phys
physics,phys
rehabilitation,rehabil
geriatric,geriatr
geriatrics,geriatr
society,soc
association,assoc
archives,arch
letters,lett
movement,mov
disorders,disord
dementia,dement
british,br
social,soc
psychology,psychol
molecular,mol
biology,biol
biomedicine,biomed
systems,syst
technology,technol
neuropsychology,neuropsychol
educational,educ
schizophrenia,schizophr
behavioral,behav
affective,affect
topics,top
roentgenology,roentgenol
science,sci
business,bus
economic,econ
computer,comput
computing,comput
computation,comput
computational,comput
simulation,sim
biophysical,biophys
connectivity,connect
scandinavian,scand
personality,pers
assessment,assess
proceedings,proc
national,natl
academy,acad
structure,struct
function,funct
comprehensive,compr
assisted,assist
tomography,tomogr
radiologica,radiol
radiology,radiol
sociology,sociol
sociological,sociol
statistician,stat
development,devel
perspectives,perspect
adolescence,adolesc
